Species,Longitude,Latitude
ahli_rep_2,-78.1039,21.1809
ahli_rep_2,-75.7932,20.6792
ahli_rep_2,-76.9155,20.0058
allogus_east_rep_2,-77.9719,21.7091
allogus_east_rep_2,-80.1776,21.9673
allogus_east_rep_2,-75.6347,20.6
allogus_east_rep_2,-74.3143,20.2434
allogus_east_rep_2,-78.6189,22.2373
allogus_east_rep_2,-76.559,20.2038
allogus_east_rep_2,-74.2483,20.2434
allogus_east_rep_2,-80.2983,21.9951
allogus_east_rep_2,-74.618,20.1378
allogus_east_rep_2,-75.1198,20.1114
allogus_east_rep_2,-74.4595,20.1906
allogus_east_rep_2,-75.0537,20.0454
allogus_east_rep_2,-76.9288,20.2434
allogus_east_rep_2,-75.7536,20.0322
allogus_east_rep_2,-76.5326,20.2963
allogus_east_rep_2,-75.2782,20.6396
allogus_east_rep_2,-76.7439,19.9661
allogus_east_rep_2,-74.9481,20.6264
allogus_east_rep_2,-74.5916,20.4283
allogus_east_rep_2,-74.6312,20.4679
allogus_east_rep_2,-74.7897,20.151
allogus_east_rep_2,-75.7668,20.1378
allogus_east_rep_2,-74.2628,20.2134
allogus_east_rep_2,-75.0141,20.6132
allogus_east_rep_2,-79.9086,21.8095
allogus_east_rep_2,-78.7774,22.2241
allogus_east_rep_2,-74.9877,20.6528
allogus_east_rep_2,-74.1691,20.217
allogus_east_rep_2,-76.3742,20.151
allogus_east_rep_2,-76.9288,20.8244
allogus_east_rep_2,-75.6611,20.9961
allogus_east_rep_2,-80.0106,21.8744
allogus_east_rep_2,-76.5062,20.151
allogus_east_rep_2,-79.8251,21.8095
allogus_east_rep_2,-80.122,21.9301
allogus_east_rep_2,-74.9745,20.1114
allogus_east_rep_2,-75.78,20.5735
allogus_east_rep_2,-80.1591,21.9673
allogus_east_rep_2,-74.6708,20.4151
allogus_east_rep_2,-77.9719,21.5507
allogus_east_rep_2,-77.9323,20.732
allogus_east_rep_2,-77.9983,20.9301
allogus_east_rep_2,-79.8807,21.8374
allogus_east_rep_2,-74.8029,20.3359
allogus_east_rep_2,-80.2148,21.9394
allogus_east_rep_2,-75.714,19.9926
allogus_east_rep_2,-80.1776,21.9023
allogus_east_rep_2,-75.0273,20.151
allogus_east_rep_2,-74.9349,20.5339
allogus_east_rep_2,-74.3803,20.1378
allogus_east_rep_2,-77.9323,21.6167
allogus_east_rep_2,-75.9384,20.0058
allogus_east_rep_2,-76.9948,19.9529
allogus_east_rep_2,-75.5555,20.6
allogus_east_rep_2,-74.2747,20.1114
allogus_east_rep_2,-75.912,20.1378
allogus_east_rep_2,-74.2483,20.2963
allogus_east_rep_2,-75.6611,20.6792
allogus_east_rep_2,-79.955,21.8374
allogus_east_rep_2,-80.0437,21.972
allogus_east_rep_2,-74.8161,20.5867
allogus_east_rep_2,-74.8293,20.5471
allogus_east_rep_2,-76.9155,20.151
allogus_east_rep_2,-80.1498,21.9858
allogus_east_rep_2,-78.0247,21.1809
